ticket_id,customer_query,intent,category,policy_reference,resolution_steps,sentiment,urgency
TICK-1014,Has order #55129 been dispatched yet?,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",neutral,high
TICK-1015,I want to know where my items are right now,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",positive,high
TICK-1016,Delivery timeline for my pending order?,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",positive,medium
TICK-1017,Courier status for order #77123,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",positive,medium
TICK-1018,Where is my order? Ordered 3 days ago.,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",neutral,high
TICK-1019,Can you check shipping progress for order #66102?,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",neutral,medium
TICK-1020,When should I expect my delivery to arrive?,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",neutral,medium
TICK-1021,I want a full refund for my order,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",negative,high
TICK-1022,How do I get my money back for a returned product?,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",neutral,medium
TICK-1023,When will my refund appear in my bank account?,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",neutral,high
TICK-1024,Can I get a refund for order #44910?,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",positive,low
TICK-1025,"I was double charged, refund me immediately",refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",neutral,medium
TICK-1026,How long do refunds take to process?,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",neutral,low
TICK-1027,Refund status for my returned shoes order #12894,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",neutral,medium
TICK-1028,"I was charged twice on my card, please issue a refund",refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",positive,high
TICK-1029,Can I get my money back?,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",positive,high
TICK-1030,Refund policy details and turnaround time,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",negative,medium
TICK-1031,Why haven't I received my refund yet?,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",negative,high
TICK-1032,Cancel my order and give me a refund,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",positive,high
TICK-1033,I demand a refund for defective item,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",positive,high
TICK-1034,How does the refund process work?,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",positive,low
TICK-1035,Has my refund for order #90212 been issued?,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",negative,high
TICK-1036,Where is the refund money you promised?,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",positive,low
TICK-1037,Need a refund for cancelled subscription,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",neutral,high
TICK-1038,Please return the money to my credit card,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",neutral,low
TICK-1039,Refund turnaround time question,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",positive,high
TICK-1040,Will I get a refund to my original card?,refund_request,Billing & Refunds,Refunds are processed within 5-7 business days back to the original payment method after an item is returned or order cancelled. Expedited processing is not available.,"Verify the order status, initiate the refund request in the billing system, and inform the customer it takes 5-7 business days to reflect on their bank statement.",neutral,medium
TICK-1041,How do I return an item I bought?,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",positive,high
TICK-1042,Can I exchange this shirt for a larger size?,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",neutral,medium
TICK-1043,What is your return window policy?,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",positive,high
TICK-1044,I received the wrong item and need to exchange it,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",neutral,high
TICK-1045,Where do I download the return shipping label?,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",positive,medium
TICK-1046,How many days do I have to return my purchase?,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",neutral,high
TICK-1047,Can I return an opened box product?,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",neutral,medium
TICK-1048,Process an exchange for order #88412,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",positive,high
TICK-1049,Need to return damaged goods,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",negative,high
TICK-1050,Is return shipping free or do I pay for it?,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",positive,low
TICK-1051,How do I send back an unwanted product?,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",neutral,high
TICK-1052,Exchange process for different color sweater,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",positive,low
TICK-1053,Do you provide a printable return label?,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",positive,medium
TICK-1054,I want to return my order for store credit,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",neutral,low
TICK-1055,Can I drop off my return at a physical store?,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",neutral,high
TICK-1056,Return guidelines for electronics,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",positive,medium
TICK-1057,How to exchange damaged merchandise?,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",negative,medium
TICK-1058,"My product arrived broken, how do I return it?",return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",negative,low
TICK-1059,What is the return address for packages?,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",neutral,medium
TICK-1060,Can I exchange without the receipt?,return_exchange,Returns & Replacements,Items can be returned or exchanged within 30 days of delivery in original packaging. Return shipping is free with our prepaid printable label.,"Generate a prepaid return shipping label, guide customer to attach it to the original package, and bring it to any authorized postal drop-off location within 30 days.",negative,low
TICK-1061,How do I reset my password?,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",positive,low
TICK-1062,I forgot my password and cannot log in,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",positive,low
TICK-1063,Password reset link is not arriving in my inbox,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",negative,high
TICK-1064,Can you reset my login password for me?,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",positive,high
TICK-1065,I'm locked out of my account due to wrong password,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",neutral,medium
TICK-1066,Where is the forgot password button?,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",negative,medium
TICK-1067,Need to change my account password,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",negative,medium
TICK-1068,How long is the password reset link valid?,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",neutral,high
TICK-1069,Can't remember my password to sign in,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",positive,high
TICK-1070,Reset password instructions please,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",neutral,medium
TICK-1071,How to update my login credentials?,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",positive,medium
TICK-1072,"Password reset token expired, what now?",password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",neutral,low
TICK-1073,My password doesn't work anymore,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",negative,medium
TICK-1074,Can I reset password via SMS instead of email?,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",negative,high
TICK-1075,Steps to recover account password,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",negative,medium
TICK-1076,"Help me log in, password forgotten",password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",positive,medium
TICK-1077,Change my security password,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",neutral,high
TICK-1078,Forgot password link not working,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",negative,high
TICK-1079,Reset credentials for user john@example.com,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",negative,low
TICK-1080,Trouble accessing my profile due to password,password_reset,Account Security,Passwords can be reset using the 'Forgot Password' link on the sign-in screen. A reset link valid for 1 hour will be emailed to the registered address.,"Direct customer to click 'Forgot Password' on the login screen, enter their registered email, and use the security link within 60 minutes to create a new password.",positive,low
TICK-1081,"My account is locked out, how do I unlock it?",account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",positive,medium
TICK-1082,I am having trouble logging into my profile,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",positive,low
TICK-1083,Two-factor authentication code is not being sent to my phone,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",positive,medium
TICK-1084,Can't access my account dashboard,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",negative,low
TICK-1085,Why is my account disabled?,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",positive,high
TICK-1086,How to update my registered email address?,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",neutral,medium
TICK-1087,I lost access to my authenticator app for 2FA,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",negative,low
TICK-1088,Cannot log in from a new computer,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",negative,high
TICK-1089,My account says suspended when I sign in,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",negative,high
TICK-1090,How do I change my primary phone number?,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",negative,high
TICK-1091,Account verification code not received,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",positive,high
TICK-1092,Trouble with 2FA sign in,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",negative,high
TICK-1093,Help unlocking my registered user account,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",neutral,low
TICK-1094,Login page keeps giving an error message,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",neutral,low
TICK-1095,How do I delete or deactivate my account?,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",neutral,high
TICK-1096,Update my profile personal information,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",positive,medium
TICK-1097,Multiple sign-in failures locked my profile,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",negative,high
TICK-1098,Account recovery without 2FA device,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",neutral,high
TICK-1099,Can someone assist with locked portal access?,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",positive,high
TICK-1100,Change the name on my customer profile,account_access,Account Management,"Accounts locked due to multiple failed logins unlock automatically after 30 minutes, or can be unlocked via two-factor authentication (2FA) verification.","Verify customer identity via 2FA security code, check account lock flags, and reset session tokens if necessary.",positive,high
TICK-1101,Why was I charged an extra fee on my invoice?,billing_inquiry,Billing & Payments,"Accepted payment methods include Visa, MasterCard, American Express, PayPal, and Apple Pay. Invoices are accessible anytime under Account > Billing.",Guide the customer to Account > Billing to download PDF tax receipts and review itemized invoice breakdowns.,negative,high
TICK-1102,Where can I find and download my monthly invoice receipt?,billing_inquiry,Billing & Payments,"Accepted payment methods include Visa, MasterCard, American Express, PayPal, and Apple Pay. Invoices are accessible anytime under Account > Billing.",Guide the customer to Account > Billing to download PDF tax receipts and review itemized invoice breakdowns.,neutral,high
TICK-1103,What payment methods do you accept on your platform?,billing_inquiry,Billing & Payments,"Accepted payment methods include Visa, MasterCard, American Express, PayPal, and Apple Pay. Invoices are accessible anytime under Account > Billing.",Guide the customer to Account > Billing to download PDF tax receipts and review itemized invoice breakdowns.,negative,medium
TICK-1104,I see an unknown charge from your company on my credit card statement,billing_inquiry,Billing & Payments,"Accepted payment methods include Visa, MasterCard, American Express, PayPal, and Apple Pay. Invoices are accessible anytime under Account > Billing.",Guide the customer to Account > Billing to download PDF tax receipts and review itemized invoice breakdowns.,negative,low
